Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,SQ_INSTS_VALU_INT32,SQ_INSTS_VALU_INT64,TA_ADDR_STALLED_BY_TC_CYCLES_sum,TA_TOTAL_WAVEFRONTS_sum,TCP_UTCL1_TRANSLATION_MISS_sum,TCP_UTCL1_TRANSLATION_HIT_sum,TCP_UTCL1_PERMISSION_MISS_sum,TCP_UTCL1_REQUEST_sum,TCC_TAG_STALL[0],TCC_BUBBLE[0],TCC_TOO_MANY_EA_WRREQS_STALL[0],TCC_TAG_STALL[1],TCC_BUBBLE[1],TCC_TOO_MANY_EA_WRREQS_STALL[1],TCC_TAG_STALL[2],TCC_BUBBLE[2],TCC_TOO_MANY_EA_WRREQS_STALL[2],TCC_TAG_STALL[3],TCC_BUBBLE[3],TCC_TOO_MANY_EA_WRREQS_STALL[3],TCC_TAG_STALL[4],TCC_BUBBLE[4],TCC_TOO_MANY_EA_WRREQS_STALL[4],TCC_TAG_STALL[5],TCC_BUBBLE[5],TCC_TOO_MANY_EA_WRREQS_STALL[5],TCC_TAG_STALL[6],TCC_BUBBLE[6],TCC_TOO_MANY_EA_WRREQS_STALL[6],TCC_TAG_STALL[7],TCC_BUBBLE[7],TCC_TOO_MANY_EA_WRREQS_STALL[7],TCC_TAG_STALL[8],TCC_BUBBLE[8],TCC_TOO_MANY_EA_WRREQS_STALL[8],TCC_TAG_STALL[9],TCC_BUBBLE[9],TCC_TOO_MANY_EA_WRREQS_STALL[9],TCC_TAG_STALL[10],TCC_BUBBLE[10],TCC_TOO_MANY_EA_WRREQS_STALL[10],TCC_TAG_STALL[11],TCC_BUBBLE[11],TCC_TOO_MANY_EA_WRREQS_STALL[11],TCC_TAG_STALL[12],TCC_BUBBLE[12],TCC_TOO_MANY_EA_WRREQS_STALL[12],TCC_TAG_STALL[13],TCC_BUBBLE[13],TCC_TOO_MANY_EA_WRREQS_STALL[13],TCC_TAG_STALL[14],TCC_BUBBLE[14],TCC_TOO_MANY_EA_WRREQS_STALL[14],TCC_TAG_STALL[15],TCC_BUBBLE[15],TCC_TOO_MANY_EA_WRREQS_STALL[15],TCC_CYCLE_sum,CPC_ME1_BUSY_FOR_PACKET_DECODE,CPC_CPC_UTCL2IU_STALL,SPI_RA_WAVE_SIMD_FULL_CSN,SPI_RA_VGPR_SIMD_FULL_CSN,GRBM_COUNT,GRBM_GUI_ACTIVE,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<float, 4, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::(anonymous namespace)::distribution_nullary_kernel<c10::BFloat16, float, HIP_vector_type<float, 4u>, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2} const&, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(int, float)#1}>(long, at::PhiloxCudaState, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::(anonymous namespace)::distribution_nullary_kernel<c10::BFloat16, float, HIP_vector_type<float, 4u>, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2} const&, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(int, float)#1}) [clone .kd]",2,0,0,2424,2424,622592,256,0,0,56,0,48,64,0x0,0x7840d001bf80,5716941,9728,246889013,5222007,0,987772068,7443456,9025536,35889.0,1048576.0,139717.0,2232260.0,0.0,4194304.0,2043,0,0,1119,0,0,1812,0,0,1754,0,0,2306,0,0,1841,0,0,2075,0,0,1852,0,0,1979,0,0,1053,0,0,1794,0,0,1751,0,0,2342,0,0,1750,0,0,2038,0,0,1859,0,0,22854080.0,790085,0,0,0,1428380,1428380,2071953818575113,2072010192658723,2072010192746893,2071953827913182
1,"void at::native::vectorized_elementwise_kernel<8, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>) [clone .kd]",2,0,1,2424,2424,8388608,256,0,0,20,4,32,64,0x0,0x7808ad046d40,6229597,131072,369299181,5664187,0,1480114640,2097152,0,3505718.0,262144.0,35462.0,2939806.0,0.0,4194304.0,319214,65536,0,448973,65536,0,168742,65536,0,244664,65536,0,250002,65536,0,237245,65536,0,164145,65536,0,189936,65536,0,277903,65536,0,472797,65536,0,170674,65536,0,262428,65536,0,265300,65536,0,215064,65536,0,168317,65536,0,182545,65536,0,24903424.0,158443,0,8048059,0,1556464,1556464,2071953832660181,2072010198264591,2072010198356086,2071953833258375
2,"void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<float, 4, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::(anonymous namespace)::distribution_nullary_kernel<c10::BFloat16, float, HIP_vector_type<float, 4u>, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2} const&, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(int, float)#1}>(long, at::PhiloxCudaState, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::(anonymous namespace)::distribution_nullary_kernel<c10::BFloat16, float, HIP_vector_type<float, 4u>, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2}, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_and_transform<c10::BFloat16, float, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::CUDAGeneratorImpl*, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(hiprandStatePhilox4_32_10*)#2} const&, at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl*>(at::TensorBase const&, double, double, at::CUDAGeneratorImpl*)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(float)#1})::{lambda(int, float)#1}) [clone .kd]",2,0,2,2424,2424,622592,256,0,0,56,0,48,64,0x0,0x7840d001bf80,7099445,9728,247183661,5227861,0,988950280,7443456,9025536,1461.0,1048576.0,139810.0,2229637.0,0.0,4194304.0,5753,0,0,4668,0,0,5557,0,0,5479,0,0,5447,0,0,2681,0,0,5933,0,0,5815,0,0,5522,0,0,4596,0,0,5517,0,0,5426,0,0,5339,0,0,2857,0,0,5847,0,0,5744,0,0,28384144.0,1131687,0,0,0,1774009,1774009,2071953833241751,2072010198356086,2072010198442294,2071953834778383
3,"void at::native::vectorized_elementwise_kernel<8, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>) [clone .kd]",2,0,3,2424,2424,8388608,256,0,0,20,4,32,64,0x0,0x7808ad046d40,7852321,131072,357398208,5509056,0,1432508840,2097152,0,3093615.0,262144.0,35144.0,2951633.0,0.0,4194304.0,237236,65536,0,494003,65536,0,172943,65536,0,227012,65536,0,177790,65536,0,158927,65536,0,119708,65536,0,131865,65536,0,305815,65536,0,462000,65536,0,179897,65536,0,231953,65536,0,195210,65536,0,173285,65536,0,118136,65536,0,153482,65536,0,31396208.0,598521,0,7650859,0,1962263,1962263,2071953833761349,2072010198442294,2072010198529342,2071953836055502
4,__amd_rocclr_fillBufferAligned.kd,2,0,4,2424,2424,77824,256,0,0,12,4,48,64,0x0,0x7808c1a93a00,2680973,1216,3128855,339178,0,12546976,4864,79232,3.0,25600.0,3904.0,302879.0,0.0,409600.0,3870,0,0,4455,0,0,5120,0,0,5375,0,0,5281,0,0,4694,0,0,3408,0,0,4855,0,0,3347,0,0,3935,0,0,5609,0,0,5250,0,0,3792,0,0,4356,0,0,2681,0,0,2293,0,0,10710976.0,633469,0,0,0,669436,669436,2071953834823730,2072010198586066,2072010198596962,2071953837300933
5,Cijk_Ailk_Bljk_BBS_BH_UserArgs_MT256x224x64_MI16x16x1_SN_LDSB1_AFC0_AFEM8_AFEM8_ASEM32_CLR1_CADS0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA942_IU1_K1_LBSPPA2048_LBSPPB128_LBSPPM0_LPA16_LPB4_LPM0_LRVW4_LWPMn1_MIAV0_MIWT4_14_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB1_WSGRA1_WSGRB2_WS64_WG64_4_1.kd,2,0,5,2424,2424,303104,256,64000,0,128,352,112,64,0x0,0x780884017980,67894565,4736,620658004,67375044,0,2482735852,2424704,0,11650928.0,13601792.0,81581.0,215846696.0,0.0,216006656.0,26534,907420,0,32405,907104,0,31884,906851,0,32124,906520,0,31944,907311,0,29031,907050,0,30992,906987,0,36893,906702,0,27149,907094,0,34497,906752,0,28634,906711,0,35444,906429,0,30085,906953,0,29507,906802,0,34801,906690,0,35138,906384,0,271563952.0,4330376,0,0,402715969,16972747,16972747,2071953923438014,2072010287445179,2072010288682128,2071953925411812
6,Cijk_Ailk_Bljk_BBS_BH_UserArgs_MT256x224x64_MI16x16x1_SN_LDSB1_AFC0_AFEM8_AFEM8_ASEM32_CLR1_CADS0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA942_IU1_K1_LBSPPA2048_LBSPPB128_LBSPPM0_LPA16_LPB4_LPM0_LRVW4_LWPMn1_MIAV0_MIWT4_14_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB1_WSGRA1_WSGRB2_WS64_WG64_4_1.kd,2,0,6,2424,2424,303104,256,64000,0,128,352,112,64,0x0,0x780884017980,71997013,4736,607220263,65834195,0,2428984660,2424704,0,10779270.0,13601792.0,83388.0,215843218.0,0.0,216006656.0,713,819420,0,1357,819376,0,632,819350,0,1285,819369,0,1311,819330,0,1239,819277,0,1248,819330,0,1339,819307,0,769,819432,0,1372,819356,0,689,819428,0,1281,819431,0,1288,819281,0,1259,819219,0,1240,819257,0,1361,819177,0,287972560.0,5637061,0,0,393960322,17998285,17998285,2071953924204747,2072010288682128,2072010290202575,2071953927796158
7,Cijk_Ailk_Bljk_BBS_BH_UserArgs_MT256x224x64_MI16x16x1_SN_LDSB1_AFC0_AFEM8_AFEM8_ASEM32_CLR1_CADS0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA942_IU1_K1_LBSPPA2048_LBSPPB128_LBSPPM0_LPA16_LPB4_LPM0_LRVW4_LWPMn1_MIAV0_MIWT4_14_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB1_WSGRA1_WSGRB2_WS64_WG64_4_1.kd,2,0,7,2424,2424,303104,256,64000,0,128,352,112,64,0x0,0x780884017980,68335941,4736,608484689,66000919,0,2434042712,2424704,0,10975254.0,13601792.0,83487.0,215843051.0,0.0,216006656.0,762,820624,0,1422,820641,0,725,820498,0,1360,820560,0,1356,820463,0,1275,820517,0,1286,820411,0,1353,820477,0,791,820514,0,1363,820560,0,725,820450,0,1276,820483,0,1342,820531,0,1255,820559,0,1256,820437,0,1354,820480,0,273330416.0,4690442,0,0,394919244,17083151,17083151,2071953924694011,2072010290202575,2072010292304603,2071953929856945
8,Cijk_Ailk_Bljk_BBS_BH_UserArgs_MT256x224x64_MI16x16x1_SN_LDSB1_AFC0_AFEM8_AFEM8_ASEM32_CLR1_CADS0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA942_IU1_K1_LBSPPA2048_LBSPPB128_LBSPPM0_LPA16_LPB4_LPM0_LRVW4_LWPMn1_MIAV0_MIWT4_14_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB1_WSGRA1_WSGRB2_WS64_WG64_4_1.kd,2,0,10,2424,2424,303104,256,64000,0,128,352,112,64,0x0,0x780884017980,68884829,4736,630432436,68326059,0,2521833656,2424704,0,12819279.0,13601792.0,81593.0,215846692.0,0.0,216006656.0,94563,850095,0,60877,850033,0,59938,850040,0,60283,850064,0,115458,850337,0,115516,850144,0,79695,850106,0,116073,850054,0,74709,850500,0,76798,850281,0,75966,850195,0,77046,850115,0,61286,850152,0,60578,850007,0,82585,850114,0,81339,850048,0,275526432.0,4274320,0,0,412588815,17220402,17220402,2071953930532294,2072010292388007,2072010294188549,2071953932790763
9,Cijk_Ailk_Bljk_BBS_BH_UserArgs_MT256x224x64_MI16x16x1_SN_LDSB1_AFC0_AFEM8_AFEM8_ASEM32_CLR1_CADS0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB4_GSUAMB_GLS0_ISA942_IU1_K1_LBSPPA2048_LBSPPB128_LBSPPM0_LPA16_LPB4_LPM0_LRVW4_LWPMn1_MIAV0_MIWT4_14_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW4_SK0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA4_VWB1_WSGRA1_WSGRB2_WS64_WG64_4_1.kd,2,0,14,2424,2424,303104,256,64000,0,128,352,112,64,0x0,0x780884017980,67002905,4736,612372047,66433053,0,2449591704,2424704,0,11289399.0,13601792.0,81585.0,215846715.0,0.0,216006656.0,22407,844178,0,27665,844146,0,26580,844225,0,28191,844100,0,29073,844288,0,25831,844187,0,28232,844186,0,30055,844086,0,16971,844374,0,20948,844273,0,20528,844232,0,22277,844119,0,17445,844228,0,16636,844189,0,21747,844362,0,20678,844250,0,268005680.0,4264091,0,0,397897347,16750355,16750355,2071953933663294,2072010294241467,2072010295886459,2071953936021451
